frame,abstime,reltime,april16_microphoneBoardE_0.seq:Rectangle 1 [C]:max,april16_microphoneBoardE_0.seq:Polygon 1 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 2 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 3 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 4 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 5 [C]:mean
50,2000-02-16 05:54:17.217000,7.840000,2.511244e+01,2.633707e+01,2.624959e+01,2.574344e+01,2.543859e+01,2.423551e+01
51,2000-02-16 05:54:17.377000,8.000000,2.511924e+01,2.634380e+01,2.620918e+01,2.579755e+01,2.547929e+01,2.425111e+01
52,2000-02-16 05:54:17.537000,8.160000,2.510563e+01,2.645809e+01,2.620918e+01,2.581783e+01,2.547251e+01,2.425518e+01
53,2000-02-16 05:54:17.697000,8.320000,2.513966e+01,2.639087e+01,2.631016e+01,2.578402e+01,2.549285e+01,2.427045e+01
54,2000-02-16 05:54:17.857000,8.480000,2.515326e+01,2.641104e+01,2.624959e+01,2.582459e+01,2.562161e+01,2.427955e+01
55,2000-02-16 05:54:18.017000,8.640000,2.512605e+01,2.644465e+01,2.616203e+01,2.581783e+01,2.555386e+01,2.428813e+01
56,2000-02-16 05:54:18.177000,8.800000,2.518727e+01,2.645809e+01,2.628324e+01,2.583811e+01,2.547929e+01,2.429637e+01
57,2000-02-16 05:54:18.337000,8.960000,2.520087e+01,2.647824e+01,2.626978e+01,2.589216e+01,2.548607e+01,2.431516e+01
58,2000-02-16 05:54:18.497000,9.120000,2.524166e+01,2.648496e+01,2.628997e+01,2.596644e+01,2.552675e+01,2.433504e+01
59,2000-02-16 05:54:18.657000,9.280000,2.519407e+01,2.650511e+01,2.630343e+01,2.593944e+01,2.545894e+01,2.434470e+01
60,2000-02-16 05:54:18.817000,9.440000,2.518727e+01,2.655883e+01,2.637743e+01,2.595294e+01,2.549963e+01,2.435441e+01
61,2000-02-16 05:54:18.977000,9.600000,2.521447e+01,2.662594e+01,2.639087e+01,2.594619e+01,2.558774e+01,2.436206e+01
62,2000-02-16 05:54:19.137000,9.760000,2.525525e+01,2.658568e+01,2.636398e+01,2.600019e+01,2.553353e+01,2.436974e+01
63,2000-02-16 05:54:19.297000,9.920000,2.526205e+01,2.655883e+01,2.641104e+01,2.600694e+01,2.564869e+01,2.437574e+01
64,2000-02-16 05:54:19.457000,10.080000,2.525525e+01,2.673993e+01,2.651183e+01,2.605416e+01,2.551997e+01,2.438814e+01
65,2000-02-16 05:54:19.617000,10.240000,2.532998e+01,2.657897e+01,2.664606e+01,2.605416e+01,2.551997e+01,2.439832e+01
66,2000-02-16 05:54:19.777000,10.400000,2.528923e+01,2.663265e+01,2.654540e+01,2.605416e+01,2.553353e+01,2.439995e+01
67,2000-02-16 05:54:19.937000,10.560000,2.528243e+01,2.661923e+01,2.644465e+01,2.614181e+01,2.549963e+01,2.441124e+01
68,2000-02-16 05:54:20.097000,10.720000,2.528923e+01,2.668630e+01,2.657226e+01,2.604742e+01,2.553353e+01,2.442330e+01
69,2000-02-16 05:54:20.257000,10.880000,2.532998e+01,2.662594e+01,2.651855e+01,2.606765e+01,2.547251e+01,2.443165e+01
70,2000-02-16 05:54:20.417000,11.040000,2.534357e+01,2.665277e+01,2.654540e+01,2.614181e+01,2.560129e+01,2.443947e+01
71,2000-02-16 05:54:20.578000,11.201000,2.529602e+01,2.672652e+01,2.648496e+01,2.611485e+01,2.550641e+01,2.444642e+01
72,2000-02-16 05:54:20.738000,11.361000,2.541145e+01,2.665948e+01,2.653869e+01,2.613507e+01,2.562838e+01,2.445303e+01
73,2000-02-16 05:54:20.898000,11.521000,2.540466e+01,2.667289e+01,2.652526e+01,2.615529e+01,2.554031e+01,2.445580e+01
