frame,abstime,reltime,april15_microphoneBoardC_0.seq:Rectangle 1 [C]:max,april15_microphoneBoardC_0.seq:Polygon 1 [C]:max,april15_microphoneBoardC_0.seq:Rectangle 2 [C]:max,april15_microphoneBoardC_0.seq:Rectangle 3 [C]:max,april15_microphoneBoardC_0.seq:Rectangle 4 [C]:max,april15_microphoneBoardC_0.seq:Rectangle 5 [C]:mean
141,2000-02-14 21:25:52.507000,22.401000,2.597319e+01,2.679352e+01,2.707448e+01,2.642449e+01,2.472381e+01,2.453359e+01
142,2000-02-14 21:25:52.667000,22.561000,2.597319e+01,2.685379e+01,2.700765e+01,2.641104e+01,2.473747e+01,2.453248e+01
143,2000-02-14 21:25:52.827000,22.721000,2.590567e+01,2.678683e+01,2.705443e+01,2.645137e+01,2.471015e+01,2.454002e+01
144,2000-02-14 21:25:52.987000,22.881000,2.600019e+01,2.680692e+01,2.704775e+01,2.649168e+01,2.481257e+01,2.456034e+01
145,2000-02-14 21:25:53.147000,23.041000,2.598669e+01,2.691402e+01,2.707448e+01,2.649168e+01,2.475113e+01,2.458444e+01
146,2000-02-14 21:25:53.307000,23.201000,2.604067e+01,2.690064e+01,2.716129e+01,2.648496e+01,2.482622e+01,2.458381e+01
147,2000-02-14 21:25:53.467000,23.361000,2.602718e+01,2.688056e+01,2.711455e+01,2.652526e+01,2.482622e+01,2.458825e+01
148,2000-02-14 21:25:53.627000,23.521000,2.607440e+01,2.684710e+01,2.711455e+01,2.645809e+01,2.489444e+01,2.459460e+01
149,2000-02-14 21:25:53.787000,23.681000,2.604742e+01,2.682031e+01,2.709451e+01,2.660581e+01,2.488080e+01,2.459514e+01
150,2000-02-14 21:25:53.947000,23.841000,2.604742e+01,2.683371e+01,2.707448e+01,2.653197e+01,2.479210e+01,2.460431e+01
151,2000-02-14 21:25:54.106000,24.000000,2.598669e+01,2.688056e+01,2.710787e+01,2.649168e+01,2.481257e+01,2.461459e+01
152,2000-02-14 21:25:54.266000,24.160000,2.602044e+01,2.688726e+01,2.708784e+01,2.658568e+01,2.491490e+01,2.462264e+01
153,2000-02-14 21:25:54.426000,24.320000,2.603393e+01,2.693409e+01,2.710787e+01,2.657897e+01,2.487398e+01,2.463010e+01
154,2000-02-14 21:25:54.586000,24.480000,2.608788e+01,2.687387e+01,2.714794e+01,2.661252e+01,2.486034e+01,2.463202e+01
155,2000-02-14 21:25:54.746000,24.640000,2.607440e+01,2.691402e+01,2.714126e+01,2.657226e+01,2.483305e+01,2.463548e+01
156,2000-02-14 21:25:54.906000,24.800000,2.609463e+01,2.690064e+01,2.718798e+01,2.656554e+01,2.481257e+01,2.463768e+01
157,2000-02-14 21:25:55.066000,24.960000,2.611485e+01,2.702102e+01,2.720133e+01,2.663265e+01,2.485351e+01,2.463578e+01
158,2000-02-14 21:25:55.226000,25.120000,2.612159e+01,2.689395e+01,2.718798e+01,2.653869e+01,2.488762e+01,2.463289e+01
159,2000-02-14 21:25:55.386000,25.280000,2.612159e+01,2.693409e+01,2.714794e+01,2.664606e+01,2.479892e+01,2.463906e+01
160,2000-02-14 21:25:55.546000,25.440000,2.607440e+01,2.694747e+01,2.713458e+01,2.661923e+01,2.483987e+01,2.465261e+01
161,2000-02-14 21:25:55.706000,25.600000,2.614181e+01,2.695416e+01,2.720133e+01,2.658568e+01,2.484669e+01,2.465682e+01
162,2000-02-14 21:25:55.866000,25.760000,2.608788e+01,2.702770e+01,2.718131e+01,2.659239e+01,2.488080e+01,2.465635e+01
163,2000-02-14 21:25:56.026000,25.920000,2.613507e+01,2.692740e+01,2.720133e+01,2.655883e+01,2.488080e+01,2.466011e+01
164,2000-02-14 21:25:56.186000,26.080000,2.611485e+01,2.692740e+01,2.717464e+01,2.659910e+01,2.483305e+01,2.465664e+01
