frame,abstime,reltime,april10_baselineBoardC_3.seq:Rectangle 1 [C]:max,april10_baselineBoardC_3.seq:Polygon 1 [C]:max,april10_baselineBoardC_3.seq:Rectangle 2 [C]:max,april10_baselineBoardC_3.seq:Rectangle 3 [C]:max,april10_baselineBoardC_3.seq:Rectangle 4 [C]:max,april10_baselineBoardC_3.seq:Rectangle 5 [C]:mean
55,2000-02-10 06:31:50.958000,8.641000,2.516687e+01,2.657226e+01,2.621592e+01,2.562161e+01,2.441598e+01,2.406983e+01
56,2000-02-10 06:31:51.118000,8.801000,2.511924e+01,2.655883e+01,2.621592e+01,2.568931e+01,2.446393e+01,2.408232e+01
57,2000-02-10 06:31:51.278000,8.961000,2.511924e+01,2.669300e+01,2.617550e+01,2.564869e+01,2.440913e+01,2.409765e+01
58,2000-02-10 06:31:51.438000,9.121000,2.527564e+01,2.659239e+01,2.626978e+01,2.572991e+01,2.449816e+01,2.410396e+01
59,2000-02-10 06:31:51.598000,9.281000,2.513285e+01,2.660581e+01,2.620245e+01,2.571638e+01,2.438858e+01,2.410328e+01
60,2000-02-10 06:31:51.758000,9.441000,2.520767e+01,2.663935e+01,2.622265e+01,2.570285e+01,2.445708e+01,2.411988e+01
61,2000-02-10 06:31:51.918000,9.601000,2.520087e+01,2.665948e+01,2.620245e+01,2.567577e+01,2.449816e+01,2.412837e+01
62,2000-02-10 06:31:52.078000,9.761000,2.527564e+01,2.659239e+01,2.624285e+01,2.568931e+01,2.439543e+01,2.413122e+01
63,2000-02-10 06:31:52.238000,9.921000,2.528923e+01,2.667289e+01,2.637070e+01,2.574344e+01,2.449816e+01,2.413858e+01
64,2000-02-10 06:31:52.398000,10.081000,2.526884e+01,2.661923e+01,2.630343e+01,2.573668e+01,2.444338e+01,2.414502e+01
65,2000-02-10 06:31:52.558000,10.241000,2.532319e+01,2.663935e+01,2.634380e+01,2.581107e+01,2.439543e+01,2.414571e+01
