frame,abstime,reltime,april3_microphoneBoardD_4.seq:Rectangle 1 [C]:max,april3_microphoneBoardD_4.seq:Polygon 1 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 2 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 3 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 4 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 5 [C]:mean
81,2000-02-03 08:01:29.599000,12.801000,2.621592e+01,2.699428e+01,2.706779e+01,2.669300e+01,2.577050e+01,2.493009e+01
82,2000-02-03 08:01:29.759000,12.961000,2.626305e+01,2.690064e+01,2.704107e+01,2.665948e+01,2.570285e+01,2.494130e+01
83,2000-02-03 08:01:29.919000,13.121000,2.626978e+01,2.694078e+01,2.706111e+01,2.667289e+01,2.578402e+01,2.494597e+01
84,2000-02-03 08:01:30.079000,13.281000,2.629670e+01,2.698759e+01,2.710119e+01,2.667959e+01,2.573668e+01,2.495473e+01
85,2000-02-03 08:01:30.239000,13.441000,2.632362e+01,2.695416e+01,2.712123e+01,2.679352e+01,2.579078e+01,2.496559e+01
86,2000-02-03 08:01:30.399000,13.601000,2.628324e+01,2.692740e+01,2.713458e+01,2.676003e+01,2.581107e+01,2.497162e+01
87,2000-02-03 08:01:30.559000,13.761000,2.632362e+01,2.695416e+01,2.714794e+01,2.683371e+01,2.581107e+01,2.497561e+01
88,2000-02-03 08:01:30.719000,13.921000,2.634380e+01,2.696753e+01,2.714794e+01,2.676673e+01,2.583811e+01,2.498300e+01
89,2000-02-03 08:01:30.879000,14.081000,2.628997e+01,2.692071e+01,2.717464e+01,2.678013e+01,2.576373e+01,2.499177e+01
90,2000-02-03 08:01:31.040000,14.242000,2.631016e+01,2.702102e+01,2.715461e+01,2.672652e+01,2.578402e+01,2.499388e+01
91,2000-02-03 08:01:31.199000,14.401000,2.635052e+01,2.698759e+01,2.720800e+01,2.678013e+01,2.575021e+01,2.500454e+01
92,2000-02-03 08:01:31.359000,14.561000,2.633035e+01,2.697422e+01,2.716796e+01,2.673322e+01,2.580431e+01,2.500555e+01
93,2000-02-03 08:01:31.519000,14.721000,2.648496e+01,2.698759e+01,2.723469e+01,2.672652e+01,2.584487e+01,2.502325e+01
94,2000-02-03 08:01:31.680000,14.882000,2.640432e+01,2.698091e+01,2.712791e+01,2.680022e+01,2.589892e+01,2.501960e+01
95,2000-02-03 08:01:31.839000,15.041000,2.639760e+01,2.700765e+01,2.716796e+01,2.682701e+01,2.587865e+01,2.502594e+01
96,2000-02-03 08:01:31.999000,15.201000,2.645809e+01,2.700097e+01,2.724136e+01,2.678683e+01,2.579755e+01,2.502504e+01
97,2000-02-03 08:01:32.159000,15.361000,2.643121e+01,2.702102e+01,2.720133e+01,2.682031e+01,2.578402e+01,2.502807e+01
98,2000-02-03 08:01:32.319000,15.521000,2.645137e+01,2.703439e+01,2.726804e+01,2.676673e+01,2.575697e+01,2.503293e+01
99,2000-02-03 08:01:32.479000,15.681000,2.647153e+01,2.703439e+01,2.721468e+01,2.684040e+01,2.579755e+01,2.504339e+01
