frame,abstime,reltime,april11_microphoneBoardA_0_0.seq:Rectangle 1 [C]:max,april11_microphoneBoardA_0_0.seq:Polygon 1 [C]:max,april11_microphoneBoardA_0_0.seq:Rectangle 2 [C]:max,april11_microphoneBoardA_0_0.seq:Rectangle 3 [C]:max,april11_microphoneBoardA_0_0.seq:Rectangle 4 [C]:max,april11_microphoneBoardA_0_0.seq:Rectangle 5 [C]:mean
104,2000-02-10 21:49:07.284000,16.482000,2.503755e+01,2.581107e+01,2.611485e+01,2.551997e+01,2.406601e+01,2.372430e+01
105,2000-02-10 21:49:07.444000,16.642000,2.504436e+01,2.579755e+01,2.618898e+01,2.550641e+01,2.407975e+01,2.372806e+01
106,2000-02-10 21:49:07.604000,16.802000,2.499668e+01,2.579078e+01,2.614855e+01,2.554708e+01,2.406601e+01,2.372683e+01
107,2000-02-10 21:49:07.764000,16.962000,2.506479e+01,2.581783e+01,2.616203e+01,2.547929e+01,2.403163e+01,2.373244e+01
108,2000-02-10 21:49:07.924000,17.122000,2.506479e+01,2.582459e+01,2.614855e+01,2.544537e+01,2.407288e+01,2.373154e+01
109,2000-02-10 21:49:08.084000,17.282000,2.513966e+01,2.584487e+01,2.617550e+01,2.552675e+01,2.416220e+01,2.373932e+01
110,2000-02-10 21:49:08.244000,17.442000,2.511244e+01,2.576373e+01,2.619571e+01,2.550641e+01,2.403851e+01,2.373586e+01
111,2000-02-10 21:49:08.404000,17.602000,2.504436e+01,2.579078e+01,2.615529e+01,2.548607e+01,2.401788e+01,2.373104e+01
112,2000-02-10 21:49:08.564000,17.762000,2.503074e+01,2.581107e+01,2.627651e+01,2.553353e+01,2.401788e+01,2.373706e+01
113,2000-02-10 21:49:08.724000,17.922000,2.512605e+01,2.589216e+01,2.633035e+01,2.558097e+01,2.412098e+01,2.383948e+01
114,2000-02-10 21:49:08.884000,18.082000,2.513285e+01,2.587189e+01,2.629670e+01,2.564192e+01,2.414159e+01,2.384284e+01
115,2000-02-10 21:49:09.044000,18.242000,2.513285e+01,2.594619e+01,2.627651e+01,2.560806e+01,2.414159e+01,2.384271e+01
116,2000-02-10 21:49:09.205000,18.403000,2.516006e+01,2.587865e+01,2.635052e+01,2.564192e+01,2.418280e+01,2.384372e+01
117,2000-02-10 21:49:09.364000,18.562000,2.517367e+01,2.591918e+01,2.627651e+01,2.569608e+01,2.412785e+01,2.384592e+01
118,2000-02-10 21:49:09.524000,18.722000,2.512605e+01,2.596644e+01,2.626978e+01,2.565546e+01,2.412785e+01,2.384502e+01
119,2000-02-10 21:49:09.684000,18.882000,2.524166e+01,2.589892e+01,2.624285e+01,2.564192e+01,2.408663e+01,2.384377e+01
120,2000-02-10 21:49:09.844000,19.042000,2.518047e+01,2.589892e+01,2.631689e+01,2.564192e+01,2.416220e+01,2.385497e+01
121,2000-02-10 21:49:10.004000,19.202000,2.514646e+01,2.597319e+01,2.630343e+01,2.562161e+01,2.418280e+01,2.385829e+01
122,2000-02-10 21:49:10.164000,19.362000,2.520767e+01,2.594619e+01,2.636398e+01,2.566900e+01,2.420339e+01,2.385256e+01
123,2000-02-10 21:49:10.324000,19.522000,2.528923e+01,2.606091e+01,2.633707e+01,2.563515e+01,2.416906e+01,2.385093e+01
124,2000-02-10 21:49:10.484000,19.682000,2.530282e+01,2.594619e+01,2.628997e+01,2.564192e+01,2.418280e+01,2.385632e+01
125,2000-02-10 21:49:10.644000,19.842000,2.518727e+01,2.590567e+01,2.629670e+01,2.568931e+01,2.415533e+01,2.385592e+01
126,2000-02-10 21:49:10.804000,20.002000,2.517367e+01,2.596644e+01,2.638415e+01,2.569608e+01,2.421026e+01,2.386176e+01
127,2000-02-10 21:49:10.964000,20.162000,2.535036e+01,2.607440e+01,2.635725e+01,2.572991e+01,2.418966e+01,2.390006e+01
128,2000-02-10 21:49:11.124000,20.322000,2.539788e+01,2.604067e+01,2.632362e+01,2.573668e+01,2.421026e+01,2.390630e+01
129,2000-02-10 21:49:11.284000,20.482000,2.536394e+01,2.595969e+01,2.637743e+01,2.570961e+01,2.424457e+01,2.390820e+01
130,2000-02-10 21:49:11.444000,20.642000,2.532319e+01,2.598669e+01,2.639760e+01,2.568931e+01,2.420339e+01,2.390640e+01
131,2000-02-10 21:49:11.604000,20.802000,2.537751e+01,2.596644e+01,2.639087e+01,2.569608e+01,2.422398e+01,2.390879e+01
132,2000-02-10 21:49:11.764000,20.962000,2.526205e+01,2.600019e+01,2.635052e+01,2.586514e+01,2.426516e+01,2.391026e+01
133,2000-02-10 21:49:11.924000,21.122000,2.523486e+01,2.595969e+01,2.646481e+01,2.570961e+01,2.420339e+01,2.390457e+01
134,2000-02-10 21:49:12.084000,21.282000,2.529602e+01,2.601369e+01,2.641104e+01,2.570961e+01,2.421026e+01,2.390921e+01
135,2000-02-10 21:49:12.244000,21.442000,2.537072e+01,2.596644e+01,2.639760e+01,2.570961e+01,2.423085e+01,2.390971e+01
136,2000-02-10 21:49:12.404000,21.602000,2.530961e+01,2.595294e+01,2.641776e+01,2.572315e+01,2.422398e+01,2.390773e+01
137,2000-02-10 21:49:12.564000,21.762000,2.530282e+01,2.601369e+01,2.639760e+01,2.575697e+01,2.421712e+01,2.390812e+01
138,2000-02-10 21:49:12.724000,21.922000,2.528243e+01,2.608788e+01,2.640432e+01,2.571638e+01,2.423771e+01,2.390289e+01
139,2000-02-10 21:49:12.884000,22.082000,2.539788e+01,2.609463e+01,2.634380e+01,2.573668e+01,2.421026e+01,2.390338e+01
140,2000-02-10 21:49:13.044000,22.242000,2.530282e+01,2.598669e+01,2.637070e+01,2.568931e+01,2.434060e+01,2.390120e+01
141,2000-02-10 21:49:13.205000,22.403000,2.532998e+01,2.602044e+01,2.634380e+01,2.575021e+01,2.424457e+01,2.394864e+01
142,2000-02-10 21:49:13.365000,22.563000,2.537751e+01,2.602044e+01,2.653197e+01,2.584487e+01,2.433374e+01,2.395553e+01
143,2000-02-10 21:49:13.525000,22.723000,2.533677e+01,2.602044e+01,2.653197e+01,2.577726e+01,2.426516e+01,2.395683e+01
144,2000-02-10 21:49:13.685000,22.883000,2.537751e+01,2.597994e+01,2.655212e+01,2.587865e+01,2.423771e+01,2.396292e+01
145,2000-02-10 21:49:13.845000,23.043000,2.537072e+01,2.605416e+01,2.645137e+01,2.579078e+01,2.427888e+01,2.395914e+01
146,2000-02-10 21:49:14.005000,23.203000,2.550641e+01,2.607440e+01,2.643793e+01,2.578402e+01,2.428574e+01,2.395381e+01
147,2000-02-10 21:49:14.165000,23.363000,2.535715e+01,2.598669e+01,2.647824e+01,2.578402e+01,2.424457e+01,2.395340e+01
148,2000-02-10 21:49:14.325000,23.523000,2.537072e+01,2.613507e+01,2.647824e+01,2.579755e+01,2.421026e+01,2.395288e+01
149,2000-02-10 21:49:14.485000,23.683000,2.542502e+01,2.619571e+01,2.651855e+01,2.581107e+01,2.427202e+01,2.395728e+01
150,2000-02-10 21:49:14.645000,23.843000,2.541145e+01,2.602718e+01,2.652526e+01,2.577726e+01,2.443653e+01,2.395562e+01
151,2000-02-10 21:49:14.805000,24.003000,2.541145e+01,2.610811e+01,2.649168e+01,2.579078e+01,2.435431e+01,2.395390e+01
152,2000-02-10 21:49:14.965000,24.163000,2.537072e+01,2.600019e+01,2.643121e+01,2.583811e+01,2.427202e+01,2.395124e+01
153,2000-02-10 21:49:15.125000,24.323000,2.548607e+01,2.601369e+01,2.647824e+01,2.584487e+01,2.426516e+01,2.395255e+01
154,2000-02-10 21:49:15.285000,24.483000,2.535715e+01,2.606765e+01,2.643793e+01,2.579755e+01,2.442968e+01,2.395299e+01
155,2000-02-10 21:49:15.445000,24.643000,2.549963e+01,2.609463e+01,2.642449e+01,2.579755e+01,2.429945e+01,2.395585e+01
156,2000-02-10 21:49:15.605000,24.803000,2.544537e+01,2.607440e+01,2.653869e+01,2.593269e+01,2.424457e+01,2.395929e+01
157,2000-02-10 21:49:15.765000,24.963000,2.539788e+01,2.610137e+01,2.661923e+01,2.587865e+01,2.434745e+01,2.403388e+01
158,2000-02-10 21:49:15.925000,25.123000,2.555386e+01,2.618898e+01,2.665277e+01,2.597994e+01,2.443653e+01,2.413400e+01
159,2000-02-10 21:49:16.085000,25.283000,2.557419e+01,2.625632e+01,2.663935e+01,2.604067e+01,2.451869e+01,2.414576e+01
160,2000-02-10 21:49:16.245000,25.443000,2.564192e+01,2.621592e+01,2.664606e+01,2.605416e+01,2.456659e+01,2.414893e+01
161,2000-02-10 21:49:16.405000,25.603000,2.556741e+01,2.619571e+01,2.666618e+01,2.598669e+01,2.445708e+01,2.414754e+01
162,2000-02-10 21:49:16.565000,25.763000,2.562161e+01,2.623612e+01,2.671312e+01,2.606091e+01,2.447077e+01,2.414964e+01
163,2000-02-10 21:49:16.725000,25.923000,2.554708e+01,2.628324e+01,2.675333e+01,2.610811e+01,2.443653e+01,2.414506e+01
164,2000-02-10 21:49:16.885000,26.083000,2.564192e+01,2.622265e+01,2.666618e+01,2.609463e+01,2.447762e+01,2.415215e+01
165,2000-02-10 21:49:17.045000,26.243000,2.556064e+01,2.623612e+01,2.667289e+01,2.599344e+01,2.458711e+01,2.414902e+01
166,2000-02-10 21:49:17.205000,26.403000,2.565546e+01,2.621592e+01,2.661923e+01,2.601369e+01,2.450500e+01,2.414644e+01
167,2000-02-10 21:49:17.365000,26.563000,2.570961e+01,2.628324e+01,2.668630e+01,2.600694e+01,2.443653e+01,2.414464e+01
168,2000-02-10 21:49:17.525000,26.723000,2.565546e+01,2.625632e+01,2.665277e+01,2.600694e+01,2.448447e+01,2.414331e+01
169,2000-02-10 21:49:17.685000,26.883000,2.556741e+01,2.621592e+01,2.671312e+01,2.604067e+01,2.451185e+01,2.413936e+01
170,2000-02-10 21:49:17.845000,27.043000,2.557419e+01,2.622939e+01,2.667959e+01,2.602044e+01,2.441598e+01,2.414548e+01
171,2000-02-10 21:49:18.005000,27.203000,2.560129e+01,2.619571e+01,2.671312e+01,2.601369e+01,2.446393e+01,2.413957e+01
172,2000-02-10 21:49:18.165000,27.363000,2.566224e+01,2.624285e+01,2.664606e+01,2.600019e+01,2.452554e+01,2.414058e+01
173,2000-02-10 21:49:18.325000,27.523000,2.566900e+01,2.622939e+01,2.665948e+01,2.597994e+01,2.441598e+01,2.413900e+01
174,2000-02-10 21:49:18.485000,27.683000,2.558097e+01,2.622939e+01,2.667289e+01,2.602044e+01,2.442283e+01,2.413660e+01
175,2000-02-10 21:49:18.645000,27.843000,2.556064e+01,2.624285e+01,2.667289e+01,2.600694e+01,2.440913e+01,2.413588e+01
176,2000-02-10 21:49:18.805000,28.003000,2.566224e+01,2.628324e+01,2.673993e+01,2.598669e+01,2.446393e+01,2.413437e+01
177,2000-02-10 21:49:18.965000,28.163000,2.577726e+01,2.621592e+01,2.667959e+01,2.603393e+01,2.444338e+01,2.413095e+01
178,2000-02-10 21:49:19.125000,28.323000,2.562838e+01,2.641104e+01,2.666618e+01,2.602044e+01,2.444338e+01,2.413334e+01
179,2000-02-10 21:49:19.285000,28.483000,2.574344e+01,2.641104e+01,2.670641e+01,2.597994e+01,2.443653e+01,2.413680e+01
180,2000-02-10 21:49:19.445000,28.643000,2.560129e+01,2.626978e+01,2.673322e+01,2.602718e+01,2.447762e+01,2.413464e+01
181,2000-02-10 21:49:19.605000,28.803000,2.566900e+01,2.628997e+01,2.678013e+01,2.602044e+01,2.445023e+01,2.413441e+01
182,2000-02-10 21:49:19.765000,28.963000,2.572315e+01,2.628997e+01,2.677343e+01,2.607440e+01,2.440913e+01,2.413228e+01
183,2000-02-10 21:49:19.925000,29.123000,2.564192e+01,2.623612e+01,2.681362e+01,2.600694e+01,2.446393e+01,2.412679e+01
184,2000-02-10 21:49:20.085000,29.283000,2.566224e+01,2.629670e+01,2.669971e+01,2.602044e+01,2.436802e+01,2.411177e+01
185,2000-02-10 21:49:20.245000,29.443000,2.558097e+01,2.623612e+01,2.669971e+01,2.601369e+01,2.439543e+01,2.411437e+01
186,2000-02-10 21:49:20.405000,29.603000,2.562161e+01,2.635052e+01,2.669300e+01,2.600694e+01,2.440913e+01,2.411485e+01
187,2000-02-10 21:49:20.565000,29.763000,2.554708e+01,2.622939e+01,2.690064e+01,2.603393e+01,2.455975e+01,2.411393e+01
188,2000-02-10 21:49:20.725000,29.923000,2.559451e+01,2.621592e+01,2.671312e+01,2.608788e+01,2.441598e+01,2.411316e+01
