frame,abstime,reltime,april3_baselineBoardD_4.seq:Rectangle 1 [C]:max,april3_baselineBoardD_4.seq:Polygon 1 [C]:max,april3_baselineBoardD_4.seq:Rectangle 2 [C]:max,april3_baselineBoardD_4.seq:Rectangle 3 [C]:max,april3_baselineBoardD_4.seq:Rectangle 4 [C]:max,april3_baselineBoardD_4.seq:Rectangle 5 [C]:mean
149,2000-02-03 07:02:23.441000,23.682000,2.661923e+01,2.783336e+01,2.733470e+01,2.702770e+01,2.546572e+01,2.514112e+01
150,2000-02-03 07:02:23.601000,23.842000,2.667959e+01,2.782673e+01,2.734803e+01,2.697422e+01,2.551319e+01,2.515190e+01
151,2000-02-03 07:02:23.761000,24.002000,2.668630e+01,2.782010e+01,2.733470e+01,2.687387e+01,2.551997e+01,2.515756e+01
152,2000-02-03 07:02:23.921000,24.162000,2.661252e+01,2.780683e+01,2.735469e+01,2.690733e+01,2.551997e+01,2.516412e+01
153,2000-02-03 07:02:24.081000,24.322000,2.671982e+01,2.782673e+01,2.740798e+01,2.693409e+01,2.559451e+01,2.516433e+01
154,2000-02-03 07:02:24.241000,24.482000,2.669971e+01,2.786653e+01,2.744128e+01,2.694747e+01,2.556064e+01,2.516296e+01
155,2000-02-03 07:02:24.402000,24.643000,2.661252e+01,2.792619e+01,2.736802e+01,2.700765e+01,2.550641e+01,2.515893e+01
156,2000-02-03 07:02:24.562000,24.803000,2.671312e+01,2.787316e+01,2.734803e+01,2.692740e+01,2.550641e+01,2.516729e+01
157,2000-02-03 07:02:24.722000,24.963000,2.667289e+01,2.786653e+01,2.738800e+01,2.690064e+01,2.551997e+01,2.516996e+01
158,2000-02-03 07:02:24.882000,25.123000,2.669300e+01,2.783336e+01,2.739466e+01,2.703439e+01,2.562838e+01,2.517342e+01
159,2000-02-03 07:02:25.042000,25.283000,2.677343e+01,2.785326e+01,2.740798e+01,2.702770e+01,2.553353e+01,2.518355e+01
160,2000-02-03 07:02:25.202000,25.443000,2.667959e+01,2.787979e+01,2.740798e+01,2.698091e+01,2.551997e+01,2.519109e+01
161,2000-02-03 07:02:25.362000,25.603000,2.671312e+01,2.785326e+01,2.739466e+01,2.704107e+01,2.549285e+01,2.519153e+01
162,2000-02-03 07:02:25.522000,25.763000,2.672652e+01,2.799907e+01,2.742130e+01,2.700097e+01,2.550641e+01,2.520091e+01
163,2000-02-03 07:02:25.682000,25.923000,2.678683e+01,2.789305e+01,2.746790e+01,2.692071e+01,2.552675e+01,2.520431e+01
164,2000-02-03 07:02:25.842000,26.083000,2.681362e+01,2.787979e+01,2.746125e+01,2.694078e+01,2.550641e+01,2.521250e+01
