frame,abstime,reltime,april10_baselineBoardB_3.seq:Rectangle 1 [C]:max,april10_baselineBoardB_3.seq:Polygon 1 [C]:max,april10_baselineBoardB_3.seq:Rectangle 2 [C]:max,april10_baselineBoardB_3.seq:Rectangle 3 [C]:max,april10_baselineBoardB_3.seq:Rectangle 4 [C]:max,april10_baselineBoardB_3.seq:Rectangle 5 [C]:mean
61,2000-02-10 05:51:24.174000,9.601000,2.519407e+01,2.657226e+01,2.614855e+01,2.553353e+01,2.467599e+01,2.410873e+01
62,2000-02-10 05:51:24.334000,9.761000,2.512605e+01,2.655212e+01,2.624285e+01,2.553353e+01,2.483305e+01,2.411752e+01
63,2000-02-10 05:51:24.494000,9.921000,2.517367e+01,2.654540e+01,2.625632e+01,2.558774e+01,2.478527e+01,2.412090e+01
64,2000-02-10 05:51:24.654000,10.081000,2.516006e+01,2.660581e+01,2.614181e+01,2.571638e+01,2.481257e+01,2.413675e+01
65,2000-02-10 05:51:24.814000,10.241000,2.522127e+01,2.668630e+01,2.632362e+01,2.582459e+01,2.487398e+01,2.417748e+01
66,2000-02-10 05:51:24.974000,10.401000,2.536394e+01,2.669300e+01,2.638415e+01,2.573668e+01,2.492853e+01,2.420574e+01
67,2000-02-10 05:51:25.134000,10.561000,2.526884e+01,2.676003e+01,2.635052e+01,2.570961e+01,2.483987e+01,2.421841e+01
68,2000-02-10 05:51:25.294000,10.721000,2.530961e+01,2.678013e+01,2.633035e+01,2.576373e+01,2.490126e+01,2.422902e+01
69,2000-02-10 05:51:25.454000,10.881000,2.529602e+01,2.677343e+01,2.640432e+01,2.577050e+01,2.492853e+01,2.423994e+01
70,2000-02-10 05:51:25.614000,11.041000,2.528923e+01,2.686049e+01,2.641776e+01,2.578402e+01,2.491490e+01,2.425158e+01
71,2000-02-10 05:51:25.774000,11.201000,2.543859e+01,2.674663e+01,2.641776e+01,2.572991e+01,2.480575e+01,2.425446e+01
