frame,abstime,reltime,april10_baselineBoardA_3.seq:Rectangle 1 [C]:max,april10_baselineBoardA_3.seq:Polygon 1 [C]:max,april10_baselineBoardA_3.seq:Rectangle 2 [C]:max,april10_baselineBoardA_3.seq:Rectangle 3 [C]:max,april10_baselineBoardA_3.seq:Rectangle 4 [C]:max,april10_baselineBoardA_3.seq:Rectangle 5 [C]:mean
59,2000-02-10 05:14:37.330000,9.279000,2.498306e+01,2.645137e+01,2.588541e+01,2.549963e+01,2.422398e+01,2.387320e+01
60,2000-02-10 05:14:37.490000,9.439000,2.497624e+01,2.651855e+01,2.589216e+01,2.548607e+01,2.427888e+01,2.388973e+01
61,2000-02-10 05:14:37.650000,9.599000,2.502393e+01,2.646481e+01,2.590567e+01,2.550641e+01,2.431317e+01,2.389270e+01
62,2000-02-10 05:14:37.810000,9.759000,2.507841e+01,2.645137e+01,2.597994e+01,2.555386e+01,2.429259e+01,2.390951e+01
63,2000-02-10 05:14:37.970000,9.919000,2.498987e+01,2.653197e+01,2.591243e+01,2.558774e+01,2.431317e+01,2.392045e+01
64,2000-02-10 05:14:38.130000,10.079000,2.503074e+01,2.657897e+01,2.597319e+01,2.556064e+01,2.429945e+01,2.393189e+01
65,2000-02-10 05:14:38.290000,10.239000,2.505117e+01,2.649840e+01,2.594619e+01,2.551997e+01,2.434745e+01,2.393568e+01
66,2000-02-10 05:14:38.450000,10.399000,2.509202e+01,2.656554e+01,2.599344e+01,2.552675e+01,2.427202e+01,2.394977e+01
67,2000-02-10 05:14:38.610000,10.559000,2.504436e+01,2.657226e+01,2.602718e+01,2.556064e+01,2.435431e+01,2.395551e+01
68,2000-02-10 05:14:38.770000,10.719000,2.507841e+01,2.662594e+01,2.602044e+01,2.556741e+01,2.434745e+01,2.396131e+01
69,2000-02-10 05:14:38.930000,10.879000,2.505117e+01,2.665277e+01,2.600694e+01,2.556064e+01,2.443653e+01,2.396425e+01
70,2000-02-10 05:14:39.090000,11.039000,2.505798e+01,2.668630e+01,2.600694e+01,2.557419e+01,2.438858e+01,2.396528e+01
71,2000-02-10 05:14:39.250000,11.199000,2.506479e+01,2.653197e+01,2.604742e+01,2.558097e+01,2.427888e+01,2.393750e+01
72,2000-02-10 05:14:39.411000,11.360000,2.513966e+01,2.653869e+01,2.600019e+01,2.557419e+01,2.432003e+01,2.394142e+01
73,2000-02-10 05:14:39.571000,11.520000,2.517367e+01,2.660581e+01,2.609463e+01,2.558774e+01,2.433374e+01,2.395109e+01
74,2000-02-10 05:14:39.731000,11.680000,2.513285e+01,2.659239e+01,2.607440e+01,2.558774e+01,2.440913e+01,2.395689e+01
75,2000-02-10 05:14:39.891000,11.840000,2.516687e+01,2.667289e+01,2.605416e+01,2.561483e+01,2.440228e+01,2.397091e+01
76,2000-02-10 05:14:40.051000,12.000000,2.517367e+01,2.669300e+01,2.606091e+01,2.560129e+01,2.430631e+01,2.398056e+01
77,2000-02-10 05:14:40.211000,12.160000,2.515326e+01,2.665277e+01,2.606091e+01,2.566900e+01,2.431317e+01,2.398481e+01
78,2000-02-10 05:14:40.371000,12.320000,2.520087e+01,2.667289e+01,2.604742e+01,2.559451e+01,2.434060e+01,2.398953e+01
79,2000-02-10 05:14:40.531000,12.480000,2.518727e+01,2.672652e+01,2.608114e+01,2.560129e+01,2.441598e+01,2.399881e+01
80,2000-02-10 05:14:40.691000,12.640000,2.521447e+01,2.676003e+01,2.614181e+01,2.577050e+01,2.436802e+01,2.401386e+01
81,2000-02-10 05:14:40.851000,12.800000,2.521447e+01,2.671982e+01,2.610811e+01,2.565546e+01,2.436802e+01,2.401877e+01
82,2000-02-10 05:14:41.011000,12.960000,2.522807e+01,2.666618e+01,2.614181e+01,2.565546e+01,2.440913e+01,2.402471e+01
83,2000-02-10 05:14:41.171000,13.120000,2.524846e+01,2.673993e+01,2.617550e+01,2.568931e+01,2.439543e+01,2.403065e+01
84,2000-02-10 05:14:41.331000,13.280000,2.529602e+01,2.670641e+01,2.624959e+01,2.568931e+01,2.432003e+01,2.404818e+01
85,2000-02-10 05:14:41.491000,13.440000,2.524846e+01,2.673322e+01,2.618898e+01,2.571638e+01,2.443653e+01,2.405750e+01
86,2000-02-10 05:14:41.651000,13.600000,2.526205e+01,2.675333e+01,2.620918e+01,2.574344e+01,2.435431e+01,2.405875e+01
87,2000-02-10 05:14:41.811000,13.760000,2.524846e+01,2.676673e+01,2.624285e+01,2.572991e+01,2.436116e+01,2.407314e+01
88,2000-02-10 05:14:41.971000,13.920000,2.524846e+01,2.676673e+01,2.631016e+01,2.576373e+01,2.434060e+01,2.407255e+01
89,2000-02-10 05:14:42.131000,14.080000,2.523486e+01,2.678683e+01,2.620918e+01,2.575697e+01,2.438172e+01,2.407453e+01
90,2000-02-10 05:14:42.291000,14.240000,2.527564e+01,2.678683e+01,2.621592e+01,2.577050e+01,2.441598e+01,2.408537e+01
91,2000-02-10 05:14:42.451000,14.400000,2.533677e+01,2.680022e+01,2.633707e+01,2.579078e+01,2.442283e+01,2.408925e+01
92,2000-02-10 05:14:42.612000,14.561000,2.534357e+01,2.683371e+01,2.625632e+01,2.580431e+01,2.441598e+01,2.409933e+01
93,2000-02-10 05:14:42.771000,14.720000,2.538430e+01,2.678683e+01,2.625632e+01,2.584487e+01,2.443653e+01,2.410575e+01
94,2000-02-10 05:14:42.931000,14.880000,2.551997e+01,2.680692e+01,2.627651e+01,2.584487e+01,2.439543e+01,2.411979e+01
