frame,abstime,reltime,april3_microphoneBoardA_4.seq:Rectangle 1 [C]:max,april3_microphoneBoardA_4.seq:Polygon 1 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 2 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 3 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 4 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 5 [C]:mean
81,2000-02-03 07:31:19.610000,12.802000,2.583811e+01,2.634380e+01,2.650511e+01,2.610137e+01,2.514646e+01,2.452789e+01
82,2000-02-03 07:31:19.770000,12.962000,2.585162e+01,2.639087e+01,2.651855e+01,2.612159e+01,2.511244e+01,2.453475e+01
83,2000-02-03 07:31:19.930000,13.122000,2.593269e+01,2.636398e+01,2.649840e+01,2.611485e+01,2.518727e+01,2.454115e+01
84,2000-02-03 07:31:20.090000,13.282000,2.587865e+01,2.633035e+01,2.649840e+01,2.610811e+01,2.508521e+01,2.455448e+01
85,2000-02-03 07:31:20.250000,13.442000,2.586514e+01,2.634380e+01,2.650511e+01,2.614181e+01,2.527564e+01,2.456701e+01
86,2000-02-03 07:31:20.410000,13.602000,2.588541e+01,2.640432e+01,2.647153e+01,2.627651e+01,2.520087e+01,2.455033e+01
87,2000-02-03 07:31:20.570000,13.762000,2.586514e+01,2.632362e+01,2.651183e+01,2.608788e+01,2.506479e+01,2.452953e+01
88,2000-02-03 07:31:20.730000,13.922000,2.594619e+01,2.629670e+01,2.651855e+01,2.617550e+01,2.517367e+01,2.452712e+01
89,2000-02-03 07:31:20.890000,14.082000,2.589216e+01,2.634380e+01,2.652526e+01,2.614181e+01,2.515326e+01,2.453121e+01
90,2000-02-03 07:31:21.050000,14.242000,2.589216e+01,2.637743e+01,2.653869e+01,2.620918e+01,2.503755e+01,2.453511e+01
91,2000-02-03 07:31:21.210000,14.402000,2.589892e+01,2.633707e+01,2.655212e+01,2.612833e+01,2.528923e+01,2.454312e+01
92,2000-02-03 07:31:21.370000,14.562000,2.589216e+01,2.635725e+01,2.651855e+01,2.614855e+01,2.522807e+01,2.454957e+01
93,2000-02-03 07:31:21.530000,14.722000,2.591243e+01,2.635052e+01,2.657226e+01,2.618224e+01,2.520767e+01,2.456169e+01
94,2000-02-03 07:31:21.690000,14.882000,2.593269e+01,2.646481e+01,2.660581e+01,2.613507e+01,2.530961e+01,2.457204e+01
95,2000-02-03 07:31:21.850000,15.042000,2.589892e+01,2.641776e+01,2.661252e+01,2.624285e+01,2.514646e+01,2.457986e+01
96,2000-02-03 07:31:22.010000,15.202000,2.593944e+01,2.640432e+01,2.662594e+01,2.617550e+01,2.512605e+01,2.458706e+01
97,2000-02-03 07:31:22.170000,15.362000,2.597319e+01,2.639760e+01,2.669300e+01,2.620918e+01,2.526205e+01,2.459641e+01
98,2000-02-03 07:31:22.330000,15.522000,2.595969e+01,2.639760e+01,2.662594e+01,2.617550e+01,2.526884e+01,2.459789e+01
99,2000-02-03 07:31:22.490000,15.682000,2.596644e+01,2.639087e+01,2.664606e+01,2.623612e+01,2.522127e+01,2.460579e+01
100,2000-02-03 07:31:22.650000,15.842000,2.599344e+01,2.641776e+01,2.666618e+01,2.618898e+01,2.535715e+01,2.460762e+01
101,2000-02-03 07:31:22.810000,16.002000,2.601369e+01,2.647153e+01,2.666618e+01,2.622265e+01,2.530282e+01,2.461338e+01
102,2000-02-03 07:31:22.970000,16.162000,2.602718e+01,2.641776e+01,2.665948e+01,2.623612e+01,2.533677e+01,2.462062e+01
103,2000-02-03 07:31:23.130000,16.322000,2.604742e+01,2.653197e+01,2.677343e+01,2.626978e+01,2.537751e+01,2.467615e+01
104,2000-02-03 07:31:23.290000,16.482000,2.605416e+01,2.647824e+01,2.672652e+01,2.632362e+01,2.539788e+01,2.468799e+01
105,2000-02-03 07:31:23.450000,16.642000,2.615529e+01,2.648496e+01,2.671312e+01,2.631016e+01,2.539109e+01,2.469350e+01
106,2000-02-03 07:31:23.610000,16.802000,2.605416e+01,2.653197e+01,2.675333e+01,2.633035e+01,2.543180e+01,2.470565e+01
107,2000-02-03 07:31:23.770000,16.962000,2.610811e+01,2.655212e+01,2.680692e+01,2.638415e+01,2.541145e+01,2.471260e+01
108,2000-02-03 07:31:23.930000,17.122000,2.612833e+01,2.660581e+01,2.676673e+01,2.639760e+01,2.526884e+01,2.471715e+01
109,2000-02-03 07:31:24.090000,17.282000,2.617550e+01,2.655883e+01,2.676003e+01,2.639087e+01,2.541145e+01,2.472166e+01
110,2000-02-03 07:31:24.250000,17.442000,2.615529e+01,2.653197e+01,2.676673e+01,2.647153e+01,2.543859e+01,2.473048e+01
