frame,abstime,reltime,april15_microphoneBoardB_0.seq:Rectangle 1 [C]:max,april15_microphoneBoardB_0.seq:Polygon 1 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 2 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 3 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 4 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 5 [C]:mean
60,2000-02-14 20:47:19.447000,9.442000,2.456659e+01,2.578402e+01,2.573668e+01,2.513966e+01,2.389402e+01,2.353143e+01
61,2000-02-14 20:47:19.607000,9.602000,2.460079e+01,2.589892e+01,2.569608e+01,2.516006e+01,2.388025e+01,2.353629e+01
62,2000-02-14 20:47:19.767000,9.762000,2.455291e+01,2.583811e+01,2.570961e+01,2.522127e+01,2.387336e+01,2.354572e+01
63,2000-02-14 20:47:19.927000,9.922000,2.468282e+01,2.593944e+01,2.571638e+01,2.524846e+01,2.394221e+01,2.355343e+01
64,2000-02-14 20:47:20.087000,10.082000,2.465549e+01,2.589892e+01,2.568254e+01,2.526205e+01,2.387336e+01,2.355801e+01
65,2000-02-14 20:47:20.247000,10.242000,2.461447e+01,2.592593e+01,2.572315e+01,2.518727e+01,2.393532e+01,2.356517e+01
66,2000-02-14 20:47:20.407000,10.402000,2.464865e+01,2.586514e+01,2.581783e+01,2.520087e+01,2.388025e+01,2.357715e+01
67,2000-02-14 20:47:20.567000,10.562000,2.466915e+01,2.595969e+01,2.577726e+01,2.535036e+01,2.390779e+01,2.362282e+01
68,2000-02-14 20:47:20.727000,10.722000,2.475113e+01,2.598669e+01,2.584487e+01,2.529602e+01,2.399725e+01,2.364010e+01
69,2000-02-14 20:47:20.887000,10.882000,2.474430e+01,2.597994e+01,2.591918e+01,2.538430e+01,2.402476e+01,2.365430e+01
70,2000-02-14 20:47:21.047000,11.042000,2.472381e+01,2.604067e+01,2.586514e+01,2.534357e+01,2.407975e+01,2.365691e+01
71,2000-02-14 20:47:21.207000,11.202000,2.487398e+01,2.608788e+01,2.583811e+01,2.534357e+01,2.402476e+01,2.366703e+01
72,2000-02-14 20:47:21.367000,11.362000,2.483987e+01,2.605416e+01,2.595294e+01,2.541145e+01,2.402476e+01,2.367829e+01
73,2000-02-14 20:47:21.527000,11.522000,2.481940e+01,2.609463e+01,2.601369e+01,2.537751e+01,2.401788e+01,2.368130e+01
74,2000-02-14 20:47:21.687000,11.682000,2.481257e+01,2.607440e+01,2.591918e+01,2.537072e+01,2.401100e+01,2.368593e+01
75,2000-02-14 20:47:21.847000,11.842000,2.477162e+01,2.614181e+01,2.595294e+01,2.539788e+01,2.397661e+01,2.369060e+01
76,2000-02-14 20:47:22.007000,12.002000,2.484669e+01,2.610137e+01,2.595294e+01,2.541145e+01,2.403851e+01,2.369885e+01
77,2000-02-14 20:47:22.167000,12.162000,2.488762e+01,2.611485e+01,2.596644e+01,2.539109e+01,2.404538e+01,2.370450e+01
78,2000-02-14 20:47:22.327000,12.322000,2.498987e+01,2.607440e+01,2.595294e+01,2.540466e+01,2.405913e+01,2.371574e+01
79,2000-02-14 20:47:22.487000,12.482000,2.492853e+01,2.611485e+01,2.606091e+01,2.542502e+01,2.410037e+01,2.372651e+01
