frame,abstime,reltime,april10_baselineBoardE_1.seq:Rectangle 1 [C]:max,april10_baselineBoardE_1.seq:Polygon 1 [C]:max,april10_baselineBoardE_1.seq:Rectangle 2 [C]:max,april10_baselineBoardE_1.seq:Rectangle 3 [C]:max,april10_baselineBoardE_1.seq:Rectangle 4 [C]:max,april10_baselineBoardE_1.seq:Rectangle 5 [C]:mean
82,2000-02-10 08:07:38.303000,12.959000,2.605416e+01,2.720133e+01,2.698759e+01,2.643121e+01,2.522807e+01,2.479696e+01
83,2000-02-10 08:07:38.463000,13.119000,2.597994e+01,2.724803e+01,2.694078e+01,2.647153e+01,2.525525e+01,2.480633e+01
84,2000-02-10 08:07:38.623000,13.279000,2.612833e+01,2.731470e+01,2.692740e+01,2.651855e+01,2.523486e+01,2.482240e+01
85,2000-02-10 08:07:38.783000,13.439000,2.602044e+01,2.727470e+01,2.695416e+01,2.652526e+01,2.515326e+01,2.481036e+01
86,2000-02-10 08:07:38.944000,13.600000,2.597994e+01,2.736802e+01,2.688726e+01,2.644465e+01,2.521447e+01,2.480088e+01
87,2000-02-10 08:07:39.104000,13.760000,2.602718e+01,2.721468e+01,2.693409e+01,2.647153e+01,2.516687e+01,2.480940e+01
88,2000-02-10 08:07:39.264000,13.920000,2.604067e+01,2.726137e+01,2.693409e+01,2.649168e+01,2.518727e+01,2.480570e+01
89,2000-02-10 08:07:39.424000,14.080000,2.607440e+01,2.734136e+01,2.696085e+01,2.647153e+01,2.526205e+01,2.482259e+01
90,2000-02-10 08:07:39.584000,14.240000,2.609463e+01,2.734136e+01,2.696085e+01,2.653197e+01,2.520087e+01,2.483228e+01
91,2000-02-10 08:07:39.744000,14.400000,2.615529e+01,2.732137e+01,2.692740e+01,2.651855e+01,2.515326e+01,2.483665e+01
92,2000-02-10 08:07:39.904000,14.560000,2.604742e+01,2.730804e+01,2.700097e+01,2.646481e+01,2.524846e+01,2.483815e+01
93,2000-02-10 08:07:40.064000,14.720000,2.612159e+01,2.728137e+01,2.697422e+01,2.649840e+01,2.526205e+01,2.483477e+01
94,2000-02-10 08:07:40.224000,14.880000,2.615529e+01,2.748121e+01,2.706111e+01,2.649840e+01,2.518047e+01,2.484024e+01
95,2000-02-10 08:07:40.384000,15.040000,2.608788e+01,2.732137e+01,2.714794e+01,2.653869e+01,2.522807e+01,2.485313e+01
96,2000-02-10 08:07:40.544000,15.200000,2.609463e+01,2.734803e+01,2.705443e+01,2.654540e+01,2.519407e+01,2.485883e+01
97,2000-02-10 08:07:40.704000,15.360000,2.609463e+01,2.738134e+01,2.708784e+01,2.654540e+01,2.523486e+01,2.486896e+01
98,2000-02-10 08:07:40.864000,15.520000,2.612833e+01,2.739466e+01,2.708116e+01,2.662594e+01,2.525525e+01,2.487405e+01
99,2000-02-10 08:07:41.024000,15.680000,2.602718e+01,2.730804e+01,2.709451e+01,2.652526e+01,2.516006e+01,2.482094e+01
100,2000-02-10 08:07:41.184000,15.840000,2.608788e+01,2.733470e+01,2.703439e+01,2.655883e+01,2.516006e+01,2.480943e+01
101,2000-02-10 08:07:41.344000,16.000000,2.604067e+01,2.732804e+01,2.708784e+01,2.649840e+01,2.515326e+01,2.482436e+01
102,2000-02-10 08:07:41.504000,16.160000,2.610137e+01,2.728804e+01,2.707448e+01,2.655883e+01,2.515326e+01,2.482689e+01
103,2000-02-10 08:07:41.664000,16.320000,2.609463e+01,2.731470e+01,2.702102e+01,2.657897e+01,2.526884e+01,2.483705e+01
104,2000-02-10 08:07:41.824000,16.480000,2.610811e+01,2.730804e+01,2.702770e+01,2.663265e+01,2.522807e+01,2.484704e+01
105,2000-02-10 08:07:41.984000,16.640000,2.610137e+01,2.730804e+01,2.707448e+01,2.661923e+01,2.520087e+01,2.485129e+01
106,2000-02-10 08:07:42.144000,16.800000,2.616203e+01,2.734803e+01,2.705443e+01,2.659910e+01,2.518047e+01,2.485530e+01
107,2000-02-10 08:07:42.304000,16.960000,2.614855e+01,2.736135e+01,2.705443e+01,2.665948e+01,2.524846e+01,2.486758e+01
108,2000-02-10 08:07:42.464000,17.120000,2.623612e+01,2.738800e+01,2.708116e+01,2.664606e+01,2.519407e+01,2.487123e+01
109,2000-02-10 08:07:42.624000,17.280000,2.626978e+01,2.742796e+01,2.708116e+01,2.659910e+01,2.521447e+01,2.488091e+01
110,2000-02-10 08:07:42.784000,17.440000,2.611485e+01,2.741464e+01,2.712123e+01,2.672652e+01,2.534357e+01,2.488830e+01
111,2000-02-10 08:07:42.944000,17.600000,2.614855e+01,2.746125e+01,2.721468e+01,2.665948e+01,2.537072e+01,2.489932e+01
112,2000-02-10 08:07:43.104000,17.760000,2.618898e+01,2.743462e+01,2.722135e+01,2.673322e+01,2.530961e+01,2.492346e+01
113,2000-02-10 08:07:43.264000,17.920000,2.620918e+01,2.748787e+01,2.717464e+01,2.665948e+01,2.536394e+01,2.492500e+01
114,2000-02-10 08:07:43.424000,18.080000,2.627651e+01,2.739466e+01,2.712791e+01,2.678013e+01,2.529602e+01,2.493525e+01
115,2000-02-10 08:07:43.584000,18.240000,2.619571e+01,2.740798e+01,2.722135e+01,2.667289e+01,2.523486e+01,2.494105e+01
116,2000-02-10 08:07:43.744000,18.400000,2.624959e+01,2.740798e+01,2.717464e+01,2.685379e+01,2.522807e+01,2.494733e+01
117,2000-02-10 08:07:43.904000,18.560000,2.627651e+01,2.749452e+01,2.717464e+01,2.687387e+01,2.527564e+01,2.495560e+01
118,2000-02-10 08:07:44.064000,18.720000,2.629670e+01,2.746790e+01,2.722802e+01,2.679352e+01,2.535715e+01,2.496242e+01
119,2000-02-10 08:07:44.224000,18.880000,2.638415e+01,2.746125e+01,2.728804e+01,2.676673e+01,2.532319e+01,2.496406e+01
120,2000-02-10 08:07:44.384000,19.040000,2.631016e+01,2.762088e+01,2.716796e+01,2.686718e+01,2.547929e+01,2.497118e+01
121,2000-02-10 08:07:44.544000,19.200000,2.627651e+01,2.755440e+01,2.718798e+01,2.676003e+01,2.525525e+01,2.497733e+01
122,2000-02-10 08:07:44.704000,19.360000,2.628997e+01,2.756105e+01,2.728137e+01,2.677343e+01,2.532998e+01,2.498445e+01
123,2000-02-10 08:07:44.864000,19.520000,2.635052e+01,2.750118e+01,2.727470e+01,2.678013e+01,2.530282e+01,2.499463e+01
124,2000-02-10 08:07:45.024000,19.680000,2.633035e+01,2.752114e+01,2.727470e+01,2.674663e+01,2.545216e+01,2.499931e+01
125,2000-02-10 08:07:45.184000,19.840000,2.630343e+01,2.749452e+01,2.722802e+01,2.680022e+01,2.530961e+01,2.500351e+01
126,2000-02-10 08:07:45.344000,20.000000,2.639087e+01,2.755440e+01,2.726137e+01,2.682701e+01,2.531640e+01,2.501642e+01
127,2000-02-10 08:07:45.504000,20.160000,2.628997e+01,2.752114e+01,2.722802e+01,2.676673e+01,2.549285e+01,2.498179e+01
128,2000-02-10 08:07:45.664000,20.320000,2.629670e+01,2.752114e+01,2.724136e+01,2.679352e+01,2.537751e+01,2.498357e+01
129,2000-02-10 08:07:45.824000,20.480000,2.638415e+01,2.756770e+01,2.718131e+01,2.681362e+01,2.531640e+01,2.498654e+01
130,2000-02-10 08:07:45.984000,20.640000,2.639087e+01,2.762088e+01,2.722135e+01,2.678683e+01,2.538430e+01,2.499724e+01
131,2000-02-10 08:07:46.144000,20.800000,2.631689e+01,2.749452e+01,2.726137e+01,2.680022e+01,2.530961e+01,2.499924e+01
