Board Type,Board Instance,Component,Trial,a_rise,b_rise,c_rise,a_fall,b_fall,c_fall
baseline,C,atmega,0,4.770557566107065,0.020905866287543613,6.2086410779333425,-4.50704222311202,0.021553518075924153,-0.24530443928404128
baseline,C,3v3reg,0,4.598761700913271,0.02006926472166383,6.168715600757058,-4.609240324301299,0.018201394306051128,-0.31269847009475293
baseline,C,buck,0,4.469323447063615,0.020011658883805964,5.560519932040675,-4.591148321627738,0.017905919388053276,-0.3827387169281287
baseline,C,usbesd,0,3.3812332248030335,0.014113113787164164,3.42273942049064,-2.9440487316659367,0.01598545806789401,-0.24974122016109138
baseline,C,fullboard,0,3.524306347637913,0.015798732693216258,3.6720448127927283,-3.743134309195317,0.01451444217980004,-0.4629505353270407
baseline,C,samd,1,4.788470513110871,0.01857712277424915,5.676772881910977,-4.538125467713764,0.02015750626219781,0.25788816768919576
baseline,C,atmega,1,5.126961412606794,0.020707847969130718,6.532843299256605,-4.583711704687474,0.0250965997868049,0.21454387393977356
baseline,C,3v3reg,1,4.91832256046745,0.01995074993299526,6.524121708814679,-4.589524047323665,0.022125006512953564,0.31859653777167585
baseline,C,buck,1,4.797970161849165,0.020140547403122214,5.926773215318135,-4.632077826372659,0.021181250868546348,0.23359136480505785
baseline,C,usbesd,1,3.5385231029088042,0.013249090406348455,3.6636352053766483,-2.9415893400441364,0.02131679912646366,0.18418240941622183
baseline,C,fullboard,1,3.806475199969202,0.01674360056123525,4.029789892576787,-3.6034880645212275,0.01781271752641918,0.1612397015123417
baseline,C,samd,2,4.764750924891714,0.01717679943828788,5.649892629018303,-4.625417265183596,0.017872206269604417,0.0486210423887021
baseline,C,atmega,2,5.068974242735013,0.018482511280604522,6.6416314025428544,-4.544915384129277,0.022864196669452098,0.22341041261148878
baseline,C,3v3reg,2,4.831764013299093,0.01791449516352889,6.488146228130432,-4.726735826077182,0.01913306952496154,0.02085744117394341
baseline,C,buck,2,4.691648174790589,0.018507898315945275,5.93656530212974,-4.615260823717872,0.018492514762573894,0.10675994426424497
baseline,C,usbesd,2,3.5425963238876803,0.012211550557356095,3.664066577666271,-3.003822028545512,0.01779741164044791,0.015894856063281854
baseline,C,fullboard,2,3.8151104559063262,0.014971851106531243,4.08112131306544,-3.7451104564267275,0.015091742176763017,-0.02931041899487211
baseline,C,samd,3,4.896619265560399,0.016669815383587205,5.7693364399819185,-4.578353894252608,0.01741644899904276,0.05406374357684631
baseline,C,atmega,3,5.095213294590495,0.018427786004813783,6.612018597561037,-4.411446678487455,0.022763676270474154,0.1720158454219089
baseline,C,3v3reg,3,4.970530435844332,0.0184765764284458,6.628674431213697,-4.658465532570181,0.018602527413219917,0.10641806294383158
